,version,modelYear,km,price,phoneNumber,pro,argus,cheaperThanArgus,latitude,longitude
150,1.2 TCE 120 INTENS EDC,2013.0,11400,17490,0174076006,1,17800,1,48.857993,2.381153
151,1.5 DCI 90 ZEN EDC,2013.0,23000,16900,,0,16200,0,49.136089,2.2350979
152,1.5 DCI 90 INTENS EDC,2013.0,7500,16950,,0,17500,1,48.967085,1.933828
153,1.2 TCE 120 ZEN EDC,2014.0,15000,17500,,0,16000,0,48.763827,2.671739
154,0.9 TCE 90 ENERGY S&S ZEN ECO2,2014.0,8576,15450,0175448164,1,14200,0,48.757205,2.326243
155,1.5 DCI 90 INTENS EDC,2014.0,5500,20300,,0,17500,0,48.7604611,2.0436886
156,1.2 TCE 120 ZEN EDC,2013.0,23000,16000,,0,16000,0,48.98543,2.619156
157,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,34608,14900,0169754933,1,16100,1,48.6792779,2.16647
158,1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,35243,13990,0161123085,1,16000,1,48.776731,2.001844
159,1.5 DCI 90 INTENS EDC,2014.0,2,20780,0139145454,1,17500,0,48.941106,2.158431
160,1.5 DCI 90 BUSINESS EDC,2014.0,19414,16990,0615872883,1,17600,1,48.542105,2.6554
161,1.5 DCI 90 BUSINESS EDC,2013.0,21100,16290,0139316439,1,17600,1,49.015751,2.191521
162,1.5 DCI 90 INTENS EDC,2013.0,11440,19450,0156837400,1,17500,0,48.892423,2.215331
163,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,7200,17290,0174037256,1,16000,0,48.8396952,2.2399123
164,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,1000,17390,0811708090,1,16000,0,48.790367,2.455572
165,1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,3256,18490,0811708090,1,17700,0,48.792001,2.39851
166,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,19980,16890,0148763773,1,16100,0,48.851542,2.475907
167,1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,7933,18490,0811708090,1,17700,0,48.792001,2.39851
168,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,19092,16890,0148763773,1,16100,0,48.851542,2.475907
169,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,1500,17990,0628537072,1,15500,0,48.882174,2.076817
170,1.5 DCI 90 BUSINESS EDC,2014.0,8500,18290,0811708090,1,17600,0,48.790367,2.455572
171,1.5 DCI 90 BUSINESS EDC,2013.0,26145,15380,0142531111,1,17600,1,48.816363,2.317384
172,1.5 DCI 90 BUSINESS EDC,2013.0,20987,15850,0142531111,1,17600,1,48.816363,2.317384
173,1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,34808,16890,0139192136,1,17700,1,49.000275,2.09178
174,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,8634,17290,0146128847,1,16000,0,48.816363,2.317384
175,1.5 DCI 90 BUSINESS EDC,2014.0,22119,15670,0142531111,1,17600,1,48.816363,2.317384
176,1.5 DCI 90 BUSINESS EDC,2014.0,9508,16880,0142531111,1,17600,1,48.816363,2.317384
177,1.5 DCI 90 BUSINESS EDC,2013.0,20248,15850,0142531111,1,17600,1,48.816363,2.317384
178,1.5 DCI 90 BUSINESS EDC,2013.0,25972,15750,0142531111,1,17600,1,48.816363,2.317384
179,1.5 DCI 90 BUSINESS EDC,2013.0,20272,15850,0142531111,1,17600,1,48.816363,2.317384
180,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,6825,17800,0183616192,1,17700,0,48.9562018,2.8884657
181,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,18718,16900,0160059293,1,16000,0,48.85478,2.628701
182,1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,6900,19900,0609715599,1,17700,0,48.950507,3.130059
183,1.2 TCE 120 INTENS EDC,2014.0,5000,18400,,0,17800,0,48.789808,1.601126
184,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,1,17490,0175951008,1,17700,1,48.880777,2.110156
185,1.5 DCI 90 BUSINESS EDC,2013.0,30560,13900,0169936710,1,17600,1,48.730756,2.27137
186,1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,21000,15900,,0,17700,1,48.9994379,2.9188892
187,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,1,17490,0175951008,1,17700,1,48.880777,2.110156
188,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,10,17490,0175951008,1,17700,1,48.880777,2.110156
189,1.5 DCI 90 INTENS EDC,2014.0,2,20780,0139145454,1,17500,0,48.941106,2.158431
190,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,10506,17490,0160059293,1,16000,0,48.85478,2.628701
191,1.5 DCI 90 BUSINESS EDC,2013.0,29723,14850,0142531111,1,17600,1,48.816363,2.317384
192,1.5 DCI 90 BUSINESS EDC,2013.0,8090,16985,0139754280,1,17600,1,48.918524,1.96978
193,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,9500,14990,,1,15500,1,48.7980422,2.4800862
194,1.5 DCI 90 ZEN EDC,2014.0,10,18511,0175834788,1,16200,0,48.760344,2.387405
195,1.5 DCI 90 INTENS EDC,2014.0,10,20202,0175834788,1,17500,0,48.760344,2.387405
196,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,100,19850,0143240835,1,17700,0,48.841386,2.504038
197,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,100,17990,0143240835,1,15500,0,48.841386,2.504038
198,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,100,17990,0143240835,1,15500,0,48.841386,2.504038
199,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,21500,16500,0652165632,0,16100,0,48.9220615,2.2533313
200,1.5 DCI 90 INTENS EDC,2014.0,3880,20300,0659956206,0,17500,0,48.8301019,2.005269
201,1.5 DCI 90 INTENS EDC,2014.0,10,19990,0160657097,1,17500,0,48.526605,2.571664
202,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,2198,18900,0160059293,1,16000,0,48.85478,2.628701
203,1.5 DCI 90 ZEN EDC,2014.0,2244,19690,0160059293,1,16200,0,48.85478,2.628701
204,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,4896,17190,0156837400,1,16000,0,48.892423,2.215331
205,1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,10771,17900,0130157765,1,17700,0,48.896391,2.160098
206,1.5 DCI 90 INTENS EDC,2014.0,4500,20490,0160625056,1,17500,0,48.6912267,2.6103697
207,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,8995,18980,0160625056,1,17700,0,48.6912267,2.6103697
208,1.5 DCI 90 BUSINESS EDC,2013.0,21050,16890,0139754280,1,17600,1,48.918524,1.96978
209,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,8360,17790,0178455073,1,16000,0,48.8718722,2.3176432
210,1.5 DCI 90 INTENS EDC,2014.0,10,20220,0175834788,1,17500,0,48.760344,2.387405
211,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,5250,17490,0178455073,1,15500,0,48.8718722,2.3176432
212,1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,15,17900,0148941616,1,17700,0,48.886727,2.505069
213,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,10,17022,0175834788,1,15500,0,48.760344,2.387405
214,1.5 DCI 90 INTENS EDC,2014.0,10,19390,0175834788,1,17500,0,48.760344,2.387405
215,1.5 DCI 90 ZEN EDC,2014.0,10,18042,0175834788,1,16200,0,48.760344,2.387405
216,1.2 TCE 120 INTENS EDC,2014.0,10,18150,0175834788,1,17800,0,48.760344,2.387405
217,1.2 TCE 120 ZEN EDC,2013.0,18500,17730,,0,16000,0,49.130715,2.293932
218,1.5 DCI 90 ZEN EDC,2014.0,10,17820,0175834788,1,16200,0,48.760344,2.387405
219,1.5 DCI 90 INTENS EDC,2014.0,10,18264,0175834788,1,17500,0,48.760344,2.387405
220,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,30,16900,,0,15500,0,48.93897,2.538716
221,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,19900,15880,0139145454,1,16100,1,48.941106,2.158431
222,0.9 TCE 90 ENERGY S&S LIFE ECO2,2013.0,1320,14990,0139316439,1,12700,0,49.015751,2.191521
223,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,8860,16900,0139316439,1,16000,0,49.015751,2.191521
224,1.5 DCI 90 BUSINESS EDC,2013.0,9360,16900,0139316439,1,17600,1,49.015751,2.191521
225,1.2 TCE 120 INTENS EDC,2013.0,6950,18300,,0,17800,0,48.759255,2.302553
226,1.5 DCI 90 BUSINESS EDC,2013.0,17431,16980,0615872883,1,17600,1,48.542105,2.6554
227,1.2 TCE 120 INTENS EDC,2013.0,10131,18490,0160059293,1,17800,0,48.85478,2.628701
228,0.9 TCE 90 ENERGY ARIZONA ECO2,2014.0,10,16970,0184141900,1,16100,0,48.911358,2.8281139
229,1.5 DCI 90 INTENS EDC,2014.0,221,19990,0160657097,1,17500,0,48.526605,2.571664
230,1.5 DCI 90 INTENS EDC,2014.0,17421,18680,0160625056,1,17500,0,48.6912267,2.6103697
231,1.2 TCE 120 ZEN EDC,2014.0,9,18900,0160059293,1,16000,0,48.85478,2.628701
232,1.5 DCI 90 INTENS EDC,2014.0,6500,18500,,0,17500,0,48.991435,1.809326
233,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,185,19590,0130282837,1,17700,0,49.152233,2.269571
234,1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,18978,15790,0178769520,1,16000,1,48.9472096,2.2466847
235,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,23788,15990,0175448164,1,16000,1,48.757205,2.326243
236,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,20411,18200,,0,17700,0,48.82342,1.976374
